car_model,price_chf,mileage,engine_power_hp,power_mode
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,52900,10570,190,Diesel
BMW 520d xDrive 48V M Sport 4x4,53900,19299,197,Diesel
FERRARI Portofino 3.9 V8 T (CH) Gratisservice + Werksgarantie!,175900,24199,600,Benzin
FERRARI 296 GTB (CH),259900,1590,830,Benzin
BMW X3 xDrive M50 48V M Sport Pro 4x4 AHK,69900,9900,398,Benzin
BMW X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900,19899,190,Diesel
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ Carbon FACELIFT,69900,35900,435,Benzin
MERCEDES-BENZ G 63 AMG (CH) Premium Plus Paket,159900,19999,585,Benzin
BMW 520d xDrive 48V M Sport 4x4,53900,19845,197,Diesel
MERCEDES-BENZ CLK 500 Elégance Sport Paket (CH) FAB Design Style,35900,42900,388,Benzin
BMW X6 30d xDrive M-Sport / CH-Fahrzeug / Panorama / Iconic Glow,64890,51500,286,Diesel
AUDI SQ7 TFSI quattro tiptronic *7 Plätzer*Massage*Sitzlüftung*Matrix LED* Panorama*,69490,79470,507,Benzin
MINI Countryman JCW ALL4 4x4 (CH),47900,18699,300,Benzin
JEEP Wrangler 2.0 Rubicon FACELIFT Aut. 2024,54900,25199,272,Benzin
BMW M850i xDrive HAMANN INDIVIDUAL,69900,48900,530,Benzin
BMW X3 xDrive 48V 20d M Sport Individual / ACC / Head-Up Display,52900,13610,190,Diesel
BMW X3 xDrive 30e M Sport / ACC / Head-Up Display,53900,9479,292,Benzin
ASTON MARTIN DBX 4.0 V8 (CH) Frisch ab Service!,135900,45900,551,Benzin
ALFA ROMEO Tonale PHEV Q4 Veloce 4x4,30900,12332,280,Benzin
BMW X4 M40d / HeadUp / Laserlicht / Rückfahkamera,58450,35000,340,Diesel
